Payer,Service,Age Group,Sex,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020
Medicaid,Dental Services,Total,Total,3709,4264,4791,6246,8392,8493,9773,11889,12644,12637
Medicaid,Dental Services,0-18,Total,2085,2591,2938,3737,5012,4989,5216,6195,6340,6246
Medicaid,Dental Services,19-44,Total,937,984,1077,1405,1929,1938,2480,3029,3270,3315
Medicaid,Dental Services,45-64,Total,433,440,515,733,974,1071,1543,1952,2088,2117
Medicaid,Dental Services,65-84,Total,207,202,211,291,358,369,400,543,728,738
Medicaid,Dental Services,85+,Total,48,47,51,80,118,127,135,169,218,221
Medicaid,Dental Services,Total,Males,1563,1824,2043,2682,3639,3712,4254,5237,5569,5559
Medicaid,Dental Services,0-18,Males,1033,1285,1456,1865,2501,2497,2603,3088,3169,3125
Medicaid,Dental Services,19-44,Males,276,281,293,394,572,596,816,1043,1158,1174
Medicaid,Dental Services,45-64,Males,176,181,211,307,420,468,661,873,927,940
Medicaid,Dental Services,65-84,Males,69,68,72,99,123,125,143,194,264,268
Medicaid,Dental Services,85+,Males,9,9,10,16,24,26,30,40,52,52
Medicaid,Dental Services,Total,Females,2146,2441,2748,3564,4752,4781,5519,6651,7075,7078
Medicaid,Dental Services,0-18,Females,1051,1305,1481,1872,2510,2493,2613,3107,3171,3121
Medicaid,Dental Services,19-44,Females,661,703,783,1011,1357,1342,1664,1986,2112,2141
Medicaid,Dental Services,45-64,Females,257,260,304,425,555,603,882,1080,1161,1177
Medicaid,Dental Services,65-84,Females,138,134,139,191,235,243,256,349,464,471
Medicaid,Dental Services,85+,Females,39,38,41,64,95,101,105,129,166,168
Medicare,Dental Services,Total,Total,79,71,103,221,242,368,408,513,1201,2531
Medicare,Dental Services,0-18,Total,0,0,0,0,0,0,0,0,0,0
Medicare,Dental Services,19-44,Total,0,0,2,4,4,6,7,9,21,44
Medicare,Dental Services,45-64,Total,4,4,10,23,27,44,53,70,164,349
Medicare,Dental Services,65-84,Total,63,55,75,163,176,265,289,362,853,1802
Medicare,Dental Services,85+,Total,12,11,16,30,34,52,58,71,164,336
Medicare,Dental Services,Total,Males,36,32,46,99,108,166,181,228,534,1119
Medicare,Dental Services,0-18,Males,0,0,0,0,0,0,0,0,0,0
Medicare,Dental Services,19-44,Males,0,0,1,2,2,3,3,4,9,20
Medicare,Dental Services,45-64,Males,2,2,5,11,13,21,25,33,76,159
Medicare,Dental Services,65-84,Males,29,26,34,75,81,122,131,164,386,810
Medicare,Dental Services,85+,Males,4,4,6,11,12,19,21,27,63,130
Medicare,Dental Services,Total,Females,43,39,57,122,133,202,227,285,667,1412
Medicare,Dental Services,0-18,Females,0,0,0,0,0,0,0,0,0,0
Medicare,Dental Services,19-44,Females,0,0,1,2,2,3,4,5,11,24
Medicare,Dental Services,45-64,Females,2,2,5,12,14,23,28,37,88,189
Medicare,Dental Services,65-84,Females,33,29,41,89,95,143,158,199,468,991
Medicare,Dental Services,85+,Females,7,7,10,19,22,33,36,44,101,207
Other Payers and Programs,Dental Services,Total,Total,2265,2537,2964,3390,4092,4461,4691,5166,5737,14204
Other Payers and Programs,Dental Services,0-18,Total,882,1048,1204,1414,1757,2155,2306,2562,2824,4872
Other Payers and Programs,Dental Services,19-44,Total,558,548,590,722,824,837,902,894,966,2981
Other Payers and Programs,Dental Services,45-64,Total,602,731,800,913,1007,921,985,996,1051,3270
Other Payers and Programs,Dental Services,65-84,Total,214,199,344,322,478,519,465,671,830,2792
Other Payers and Programs,Dental Services,85+,Total,8,10,26,19,26,30,34,44,66,290
Other Payers and Programs,Dental Services,Total,Males,1013,1039,1244,1462,1821,2017,2029,2374,2701,6383
Other Payers and Programs,Dental Services,0-18,Males,410,515,561,692,806,1026,1074,1255,1403,2469
Other Payers and Programs,Dental Services,19-44,Males,227,155,161,280,323,332,362,383,396,1198
Other Payers and Programs,Dental Services,45-64,Males,270,304,359,388,448,422,421,428,455,1281
Other Payers and Programs,Dental Services,65-84,Males,102,62,159,96,232,228,162,298,423,1308
Other Payers and Programs,Dental Services,85+,Males,4,3,4,6,12,9,11,11,24,127
Other Payers and Programs,Dental Services,Total,Females,1252,1498,1720,1928,2271,2444,2662,2792,3035,7821
Other Payers and Programs,Dental Services,0-18,Females,472,534,643,721,951,1129,1232,1307,1421,2403
Other Payers and Programs,Dental Services,19-44,Females,331,394,429,441,501,505,539,511,570,1782
Other Payers and Programs,Dental Services,45-64,Females,332,427,441,526,559,500,564,568,596,1989
Other Payers and Programs,Dental Services,65-84,Females,113,137,185,227,246,291,304,374,406,1484
Other Payers and Programs,Dental Services,85+,Females,5,7,22,13,14,20,23,33,42,163
Out-of-Pocket,Dental Services,Total,Total,32553,36332,42194,47628,45255,46772,47257,53020,57303,53747
Out-of-Pocket,Dental Services,0-18,Total,7539,8547,9963,10674,9993,9637,9580,10568,10685,9744
Out-of-Pocket,Dental Services,19-44,Total,8132,8569,8981,10549,8738,9052,9016,10878,11632,10521
Out-of-Pocket,Dental Services,45-64,Total,10561,11514,13523,15028,14778,14448,14165,14871,15855,14546
Out-of-Pocket,Dental Services,65-84,Total,5741,6933,8722,10068,10428,12173,12909,14976,17201,17087
Out-of-Pocket,Dental Services,85+,Total,581,770,1005,1310,1318,1462,1587,1726,1931,1849
Out-of-Pocket,Dental Services,Total,Males,14264,15861,18356,20952,19511,20333,20669,24004,25765,24083
Out-of-Pocket,Dental Services,0-18,Males,3304,3703,4075,4612,4257,3966,3918,4856,5555,5201
Out-of-Pocket,Dental Services,19-44,Males,3348,3557,3822,4461,3721,3594,3578,4808,4406,4357
Out-of-Pocket,Dental Services,45-64,Males,4701,5055,5987,6669,6225,6564,6451,6388,6850,5685
Out-of-Pocket,Dental Services,65-84,Males,2703,3264,4104,4706,4803,5635,6099,7078,8067,7937
Out-of-Pocket,Dental Services,85+,Males,208,282,368,505,505,574,623,873,887,904
Out-of-Pocket,Dental Services,Total,Females,18288,20471,23838,26676,25744,26439,26588,29016,31538,29664
Out-of-Pocket,Dental Services,0-18,Females,4235,4844,5888,6061,5736,5671,5662,5712,5130,4543
Out-of-Pocket,Dental Services,19-44,Females,4784,5012,5159,6088,5017,5457,5438,6070,7226,6165
Out-of-Pocket,Dental Services,45-64,Females,5860,6459,7536,8360,8553,7884,7714,8483,9005,8861
Out-of-Pocket,Dental Services,65-84,Females,3038,3669,4619,5361,5625,6538,6809,7898,9134,9151
Out-of-Pocket,Dental Services,85+,Females,373,487,636,805,812,888,964,853,1044,945
Private health Insurance,Dental Services,Total,Total,35030,38985,41715,45277,47919,49605,52564,55609,60504,56193
Private health Insurance,Dental Services,0-18,Total,8588,10657,11683,12182,11914,14143,13395,13852,14118,12782
Private health Insurance,Dental Services,19-44,Total,11187,11893,12010,12545,12995,13393,14288,15337,16451,15454
Private health Insurance,Dental Services,45-64,Total,12159,12520,13814,15877,16941,14881,15953,16635,18605,16869
Private health Insurance,Dental Services,65-84,Total,2967,3662,3952,4172,5573,6667,8253,9225,10479,10413
Private health Insurance,Dental Services,85+,Total,130,253,256,501,496,521,675,559,852,676
Private health Insurance,Dental Services,Total,Males,15649,17466,18281,20088,21510,21583,23658,25020,27935,24881
Private health Insurance,Dental Services,0-18,Males,4043,5281,5612,5981,5467,6281,6020,6839,7326,6427
Private health Insurance,Dental Services,19-44,Males,4815,5016,4802,5036,5381,5233,6030,6675,7070,6389
Private health Insurance,Dental Services,45-64,Males,5353,5227,6046,7013,7707,6916,7177,7014,7915,6456
Private health Insurance,Dental Services,65-84,Males,1380,1871,1758,1876,2820,2957,4211,4271,5356,5368
Private health Insurance,Dental Services,85+,Males,58,72,63,182,135,197,220,221,268,241
Private health Insurance,Dental Services,Total,Females,19381,21519,23433,25189,26409,28022,28906,30589,32569,31313
Private health Insurance,Dental Services,0-18,Females,4545,5376,6071,6201,6447,7862,7375,7013,6792,6355
Private health Insurance,Dental Services,19-44,Females,6372,6878,7207,7509,7614,8159,8258,8662,9381,9065
Private health Insurance,Dental Services,45-64,Females,6806,7293,7767,8864,9234,7965,8775,9621,10690,10414
Private health Insurance,Dental Services,65-84,Females,1587,1791,2194,2296,2752,3711,4042,4955,5122,5044
Private health Insurance,Dental Services,85+,Females,72,182,194,319,361,324,455,338,584,434
Total,Dental Services,Total,Total,73636,82189,91766,102762,105899,109700,114694,126197,137389,139313
Total,Dental Services,0-18,Total,19093,22843,25787,28007,28676,30925,30497,33178,33966,33643
Total,Dental Services,19-44,Total,20814,21996,22659,25224,24490,25225,26693,30148,32340,32316
Total,Dental Services,45-64,Total,23759,25209,28661,32575,33728,31366,32698,34524,37762,37152
Total,Dental Services,65-84,Total,9191,11051,13304,15016,17013,19993,22316,25779,30090,32832
Total,Dental Services,85+,Total,779,1092,1354,1940,1992,2192,2489,2568,3231,3372
Total,Dental Services,Total,Males,32525,36222,39970,45283,46589,47811,50791,56863,62504,62026
Total,Dental Services,0-18,Males,8790,10784,11705,13150,13031,13769,13615,16039,17453,17222
Total,Dental Services,19-44,Males,8666,9009,9079,10173,9998,9759,10790,12913,13039,13138
Total,Dental Services,45-64,Males,10503,10768,12608,14387,14813,14391,14735,14735,16223,14521
Total,Dental Services,65-84,Males,4283,5290,6127,6852,8059,9067,10746,12004,14496,15691
Total,Dental Services,85+,Males,283,370,451,720,688,826,905,1172,1293,1454
Total,Dental Services,Total,Females,41111,45968,51796,57480,59310,61889,63903,69333,74885,77288
Total,Dental Services,0-18,Females,10303,12059,14082,14857,15644,17156,16882,17139,16514,16421
Total,Dental Services,19-44,Females,12148,12987,13580,15051,14492,15467,15904,17235,19301,19178
Total,Dental Services,45-64,Females,13256,14441,16053,18188,18915,16975,17963,19789,21539,22631
Total,Dental Services,65-84,Females,4908,5760,7177,8164,8954,10925,11570,13775,15594,17140
Total,Dental Services,85+,Females,496,721,903,1220,1305,1366,1584,1397,1937,1918
Medicaid,Durable Medical Equipment,Total,Total,2709,2896,3749,4189,4918,5331,6536,7628,8053,8541
Medicaid,Durable Medical Equipment,0-18,Total,769,814,1135,1238,1447,1597,1818,2154,2341,2526
Medicaid,Durable Medical Equipment,19-44,Total,684,750,957,1045,1237,1370,1765,2047,2177,2446
Medicaid,Durable Medical Equipment,45-64,Total,645,751,998,1120,1336,1418,1841,2136,2159,2248
Medicaid,Durable Medical Equipment,65-84,Total,453,432,496,591,675,696,825,957,1037,1010
Medicaid,Durable Medical Equipment,85+,Total,157,149,163,196,223,250,287,333,338,311
Medicaid,Durable Medical Equipment,Total,Males,1121,1205,1586,1747,2080,2255,2777,3249,3490,3741
Medicaid,Durable Medical Equipment,0-18,Males,422,445,634,673,787,869,982,1165,1282,1400
Medicaid,Durable Medical Equipment,19-44,Males,289,315,379,400,481,521,689,799,867,967
Medicaid,Durable Medical Equipment,45-64,Males,255,295,396,458,559,605,787,914,938,978
Medicaid,Durable Medical Equipment,65-84,Males,128,124,148,179,213,216,263,305,336,333
Medicaid,Durable Medical Equipment,85+,Males,27,26,29,37,39,44,56,66,68,63
Medicaid,Durable Medical Equipment,Total,Females,1589,1691,2163,2442,2838,3076,3759,4379,4563,4800
Medicaid,Durable Medical Equipment,0-18,Females,347,369,501,564,660,728,836,989,1059,1126
Medicaid,Durable Medical Equipment,19-44,Females,396,435,578,645,756,849,1076,1248,1311,1479
Medicaid,Durable Medical Equipment,45-64,Females,390,456,602,663,776,814,1054,1223,1221,1270
Medicaid,Durable Medical Equipment,65-84,Females,325,308,348,412,462,480,562,652,702,677
Medicaid,Durable Medical Equipment,85+,Females,131,123,133,159,184,205,230,267,270,247
Medicare,Durable Medical Equipment,Total,Total,5273,6231,6886,7892,7508,8087,7774,7632,8874,11134
Medicare,Durable Medical Equipment,0-18,Total,1,1,1,1,1,0,0,0,0,0
Medicare,Durable Medical Equipment,19-44,Total,223,260,292,304,303,319,293,282,309,332
Medicare,Durable Medical Equipment,45-64,Total,820,1041,1228,1400,1410,1521,1449,1458,1652,1798
Medicare,Durable Medical Equipment,65-84,Total,3522,4099,4451,5099,4746,5142,5031,4962,5881,7696
Medicare,Durable Medical Equipment,85+,Total,708,829,914,1088,1048,1105,1000,929,1031,1308
Medicare,Durable Medical Equipment,Total,Males,2289,2721,3052,3535,3413,3694,3568,3523,4091,5109
Medicare,Durable Medical Equipment,0-18,Males,0,1,1,1,1,0,0,0,0,0
Medicare,Durable Medical Equipment,19-44,Males,135,151,168,172,171,178,162,156,169,178
Medicare,Durable Medical Equipment,45-64,Males,417,520,610,694,705,760,728,739,833,884
Medicare,Durable Medical Equipment,65-84,Males,1508,1775,1966,2292,2169,2363,2314,2284,2701,3545
Medicare,Durable Medical Equipment,85+,Males,228,274,308,377,367,393,364,344,387,502
Medicare,Durable Medical Equipment,Total,Females,2985,3510,3834,4357,4095,4393,4206,4109,4783,6025
Medicare,Durable Medical Equipment,0-18,Females,0,1,1,0,0,0,0,0,0,0
Medicare,Durable Medical Equipment,19-44,Females,87,109,124,132,132,141,131,126,141,154
Medicare,Durable Medical Equipment,45-64,Females,403,521,618,706,705,761,722,720,819,914
Medicare,Durable Medical Equipment,65-84,Females,2014,2324,2485,2808,2577,2779,2716,2678,3180,4151
Medicare,Durable Medical Equipment,85+,Females,480,556,607,711,680,712,637,585,644,806
Other Payers and Programs,Durable Medical Equipment,Total,Total,790,784,911,961,931,1062,1104,1202,1280,1173
Other Payers and Programs,Durable Medical Equipment,0-18,Total,155,135,147,175,158,191,199,237,223,172
Other Payers and Programs,Durable Medical Equipment,19-44,Total,208,184,232,240,194,244,247,283,304,298
Other Payers and Programs,Durable Medical Equipment,45-64,Total,251,284,316,312,326,333,322,350,380,390
Other Payers and Programs,Durable Medical Equipment,65-84,Total,140,143,168,178,210,217,264,273,296,239
Other Payers and Programs,Durable Medical Equipment,85+,Total,36,39,48,56,43,77,73,60,78,73
Other Payers and Programs,Durable Medical Equipment,Total,Males,344,367,400,398,403,476,520,571,578,514
Other Payers and Programs,Durable Medical Equipment,0-18,Males,80,64,70,83,78,92,101,115,106,83
Other Payers and Programs,Durable Medical Equipment,19-44,Males,82,83,96,98,63,105,108,119,132,136
Other Payers and Programs,Durable Medical Equipment,45-64,Males,113,129,146,124,149,142,132,160,175,171
Other Payers and Programs,Durable Medical Equipment,65-84,Males,54,76,75,64,95,103,146,145,135,100
Other Payers and Programs,Durable Medical Equipment,85+,Males,15,16,14,30,18,33,32,31,29,24
Other Payers and Programs,Durable Medical Equipment,Total,Females,447,417,511,563,528,586,584,631,702,659
Other Payers and Programs,Durable Medical Equipment,0-18,Females,75,71,78,92,80,99,99,122,117,89
Other Payers and Programs,Durable Medical Equipment,19-44,Females,127,101,136,142,132,138,138,164,171,162
Other Payers and Programs,Durable Medical Equipment,45-64,Females,137,155,170,188,178,191,190,189,204,219
Other Payers and Programs,Durable Medical Equipment,65-84,Females,86,67,93,114,114,114,117,128,160,139
Other Payers and Programs,Durable Medical Equipment,85+,Females,21,23,34,26,25,44,40,29,49,49
Out-of-Pocket,Durable Medical Equipment,Total,Total,16016,18204,21053,22463,19739,20617,22296,23140,23984,23841
Out-of-Pocket,Durable Medical Equipment,0-18,Total,1392,1460,1907,2059,1611,1699,1792,1666,1737,1457
Out-of-Pocket,Durable Medical Equipment,19-44,Total,4086,4254,5305,5621,4671,4687,5015,5490,5374,5475
Out-of-Pocket,Durable Medical Equipment,45-64,Total,5250,6840,7947,7989,7250,7139,7635,7834,7733,7543
Out-of-Pocket,Durable Medical Equipment,65-84,Total,4270,4427,4559,5188,4767,5313,5950,6247,6900,7227
Out-of-Pocket,Durable Medical Equipment,85+,Total,1018,1223,1334,1606,1439,1779,1904,1904,2239,2139
Out-of-Pocket,Durable Medical Equipment,Total,Males,6721,7117,8624,9149,8086,8966,9628,10268,10223,10011
Out-of-Pocket,Durable Medical Equipment,0-18,Males,666,653,841,916,704,779,838,853,892,759
Out-of-Pocket,Durable Medical Equipment,19-44,Males,1607,1672,2144,2240,1868,1961,2120,2247,2290,2369
Out-of-Pocket,Durable Medical Equipment,45-64,Males,2294,2527,3246,3302,2898,3027,3116,3511,3435,2967
Out-of-Pocket,Durable Medical Equipment,65-84,Males,1870,1890,1915,2093,2128,2450,2739,2748,2698,3069
Out-of-Pocket,Durable Medical Equipment,85+,Males,284,375,479,599,487,748,815,910,908,848
Out-of-Pocket,Durable Medical Equipment,Total,Females,9295,11088,12429,13313,11653,11652,12668,12872,13761,13830
Out-of-Pocket,Durable Medical Equipment,0-18,Females,725,808,1066,1143,907,919,953,813,845,698
Out-of-Pocket,Durable Medical Equipment,19-44,Females,2480,2582,3162,3381,2803,2727,2895,3243,3084,3106
Out-of-Pocket,Durable Medical Equipment,45-64,Females,2956,4313,4702,4688,4352,4112,4519,4323,4299,4576
Out-of-Pocket,Durable Medical Equipment,65-84,Females,2400,2537,2645,3095,2639,2862,3211,3499,4202,4159
Out-of-Pocket,Durable Medical Equipment,85+,Females,734,848,855,1007,952,1031,1089,994,1331,1291
Private health Insurance,Durable Medical Equipment,Total,Total,4852,5095,7038,7137,6859,8162,8847,10436,11928,10431
Private health Insurance,Durable Medical Equipment,0-18,Total,504,531,784,782,730,910,1063,1133,1109,775
Private health Insurance,Durable Medical Equipment,19-44,Total,1348,1345,2057,1913,1901,2176,2490,3060,3755,3250
Private health Insurance,Durable Medical Equipment,45-64,Total,1573,1778,2525,2690,2548,3059,3184,3755,4189,3559
Private health Insurance,Durable Medical Equipment,65-84,Total,1162,1172,1322,1380,1257,1483,1598,1877,2259,2257
Private health Insurance,Durable Medical Equipment,85+,Total,265,269,350,372,423,535,512,611,616,591
Private health Insurance,Durable Medical Equipment,Total,Males,2270,2335,3113,3136,3085,3535,3922,4728,5198,4618
Private health Insurance,Durable Medical Equipment,0-18,Males,233,248,353,339,348,403,512,649,594,410
Private health Insurance,Durable Medical Equipment,19-44,Males,539,545,796,770,814,947,1121,1269,1640,1499
Private health Insurance,Durable Medical Equipment,45-64,Males,715,759,1138,1185,1194,1317,1302,1680,1875,1531
Private health Insurance,Durable Medical Equipment,65-84,Males,692,699,718,706,551,645,781,879,880,977
Private health Insurance,Durable Medical Equipment,85+,Males,93,84,109,136,177,223,206,251,209,201
Private health Insurance,Durable Medical Equipment,Total,Females,2582,2760,3926,4001,3775,4627,4925,5707,6730,5813
Private health Insurance,Durable Medical Equipment,0-18,Females,272,283,431,443,382,506,551,484,515,365
Private health Insurance,Durable Medical Equipment,19-44,Females,809,800,1262,1143,1086,1229,1369,1791,2115,1751
Private health Insurance,Durable Medical Equipment,45-64,Females,859,1018,1388,1505,1354,1742,1882,2075,2314,2028
Private health Insurance,Durable Medical Equipment,65-84,Females,470,474,604,674,706,838,817,997,1379,1280
Private health Insurance,Durable Medical Equipment,85+,Females,173,185,241,235,247,312,306,360,407,390
Total,Durable Medical Equipment,Total,Total,29641,33210,39637,42642,39955,43259,46558,50037,54119,55120
Total,Durable Medical Equipment,0-18,Total,2822,2941,3974,4255,3947,4397,4873,5190,5411,4930
Total,Durable Medical Equipment,19-44,Total,6549,6793,8843,9122,8306,8796,9810,11162,11919,11801
